step,lr,train_loss,ema_loss,val_loss,grad_norm,tok_per_s,elapsed_s
780,0.00029942580869459965,1.5446915030479431,1.9987618729559744,1.5160444974899292,0.329923152923584,181216.85655538467,10.849321842193604
790,0.00029938394227570843,1.499855250120163,1.9738165418141838,1.488264799118042,0.2942051589488983,183332.07852525933,10.724146127700806
800,0.00029934060625555475,1.5271672308444977,1.9514840762656995,1.5142934322357178,0.35103389620780945,182478.78346728394,10.774293661117554
810,0.00029929580110805434,1.4286529421806335,1.9253425195614462,1.4943903684616089,0.27075305581092834,182417.5075845837,10.777912855148315
820,0.00029924952732318904,1.4568717777729034,1.901918982472019,1.4816864728927612,0.26792803406715393,181266.71297842532,10.846337795257568
830,0.0002992017854070016,1.4566759765148163,1.879656832174159,1.4760605096817017,0.35243940353393555,183240.77249159617,10.729489803314209
840,0.00029915257588159004,1.4256066381931305,1.8569543224751073,1.4798518419265747,0.2714928686618805,182063.76153386707,10.798854112625122
850,0.00029910189928510176,1.50091552734375,1.8391523827185392,1.4825669527053833,0.34144580364227295,183872.08128820427,10.69265103340149
860,0.0002990497561717279,1.5012305080890656,1.8222562889870655,1.466052770614624,0.2823937237262726,181561.02383548205,10.828755855560303
870,0.0002989961471116972,1.434938371181488,1.8028903930967866,1.4537667036056519,0.2686903774738312,176417.8250518471,11.144452095031738
880,0.00029894107269126983,1.4082157015800476,1.7831566585209495,1.4547802209854126,0.2520592510700226,176558.40481315443,11.135578632354736
890,0.00029888453351273076,1.4160444140434265,1.7648010462970731,1.468910813331604,0.2665753662586212,176456.46612936165,11.142011642456055
900,0.0002988265301943834,1.4528621435165405,1.7492041011580466,1.4320827722549438,0.2803407311439514,176553.55871944941,11.135884284973145
910,0.00029876706337054267,1.4102835655212402,1.7322580743762064,1.441693663597107,0.2697463035583496,176589.8466215221,11.133595943450928
920,0.0002987061336915283,1.428019404411316,1.7170461408779618,1.4309430122375488,0.24584941565990448,176513.05774662748,11.138439416885376
930,0.00029864374182365754,1.4261514842510223,1.7025014080466148,1.422680139541626,0.25470808148384094,175189.96814630207,11.222560405731201
940,0.00029857988844923783,1.3874271214008331,1.6867476937143258,1.4210995435714722,0.24368424713611603,174559.48464594505,11.263094663619995
950,0.0002985145742665594,1.3822848796844482,1.671524553012832,1.415286660194397,0.2555173635482788,176592.19499812246,11.133447885513306
960,0.0002984477999898877,1.372248113155365,1.6565607310199584,1.4233500957489014,0.25849348306655884,183623.5512251127,10.707123279571533
970,0.0002983795663494556,1.4118360877037048,1.6443244988541457,1.4017961025238037,0.2474895715713501,184636.9034787027,10.648358821868896
980,0.00029830987409145516,1.4372246861457825,1.6339695082187273,1.3970545530319214,0.2446088194847107,184584.97785764743,10.651354312896729
990,0.0002982387239780298,1.3807108402252197,1.6213065748190518,1.3868663311004639,0.2525368630886078,184560.26930642262,10.652780294418335
